GEOID,sovi,rank
g22121,-2.1598843353634205,2542.0
g22123,1.788063340309605,682.0
g22125,-9.449578466088733,3138.0
g22127,-0.1358730547291478,1658.0
g23001,-0.2170321821071841,1706.0
g23003,2.269049565077645,498.0
g23005,-1.7823501663633556,2424.0
g23007,1.95851632641507,604.0
g23009,0.26558194636755583,1436.0
g23011,-0.1266647710878379,1651.0
g23013,0.3291804889537797,1406.0
g23015,0.10389571389405106,1520.0
g23017,0.8917904722381282,1083.0
g23019,-0.2296386638483947,1713.0
g23021,2.184630419085363,526.0
g23023,-1.292323757050984,2255.0
g23025,0.3159244078575567,1411.0
g23027,0.14286306890060851,1496.0
g23029,2.743088135998579,385.0
g23031,-1.263745272131532,2241.0
g24001,1.4953908899009325,811.0
g24003,-6.0043446453999305,3084.0
g24005,-1.900452642695311,2461.0
g24009,-6.297653691173061,3098.0
g24011,-0.8096630576768449,2023.0
g24013,-4.991156595575694,3023.0
g24015,-3.2868279495446204,2819.0
g24017,-5.781842835329563,3071.0
g24019,1.7975262672745211,678.0
g24021,-5.442433686428453,3052.0
g24023,0.191152413455921,1467.0
g24025,-4.838182968271203,3008.0
g24027,-9.284888225160785,3137.0
g24029,2.3480244962358494,475.0
g24031,-4.909568380223112,3013.0
g24033,-1.8142197039881944,2436.0
g24035,-4.955363836939132,3020.0
g24037,-5.6956034917974225,3064.0
g24039,0.2609657676759274,1439.0
g24041,1.1827834042626215,944.0
g24043,-1.429101079034405,2302.0
g24045,0.48392010253342854,1317.0
g24047,1.3308028816501203,882.0
g24510,4.896286332202456,128.0
g25001,1.3442116044071217,874.0
g25003,2.4327609313978846,448.0
g25005,0.8112815441684096,1131.0
g25007,-1.3248836583109456,2262.0
g25009,-0.3747942673779807,1803.0
g25011,-0.8135862554606348,2026.0
g25013,3.3651509277977345,272.0
g25015,-1.6547202114658188,2378.0
g25017,-4.361205530028357,2966.0
g25019,-6.081979328677042,3088.0
g25021,-4.522018507876329,2982.0
g25023,-2.683098132892408,2683.0
g25025,4.270158419737472,163.0
g25027,-1.728586946727201,2405.0
g26001,5.211080330230908,118.0
g26003,1.9521828080646275,609.0
g26005,-2.394545929173047,2603.0
g26007,1.2154832546386825,924.0
g26009,1.9113681465314767,627.0
g26011,1.8152262337282639,665.0
g26013,2.7331442212713037,387.0
g26015,-3.069843298648534,2773.0
g26017,1.080237724832715,992.0
g26019,1.9546641460435494,608.0
g26021,1.2355627022099658,914.0
g26023,-1.047913303430538,2128.0
g26025,1.1501165958861517,963.0
g26027,-1.223460473386311,2217.0
g26029,0.09405286995599549,1528.0
g26031,2.4658754555349542,443.0
g26033,0.4121655738335436,1354.0
g26035,3.1700681542455458,306.0
